Course Dept,Course Number,Course Name,Course Desc
ACCT,200,Accounting Fundamentals 1 ," This course introduces double-entry bookkeeping, including journalizing, posting to the ledgers, completing a trial balance, adjusting and closing entries and preparing financial statements. The complete accounting cycle for a service business will be studied."
ACCT,206,Financial Accounting for the Hospitality Industry ," This course provides an introduction to financial accounting aspects of the hospitality industry. This includes generally accepted accounting principles, financial statement preparation, the accounting cycle, specialized journals, accounting for cash, accounts receivable, sales, payroll and inventories."
ACCT,215,Introductory Financial Accounting I ," This course provides an introduction to financial accounting from the perspective of the user who makes decisions based on financial information. The course includes an introduction to the accounting framework, generally accepted accounting principles and financial statements. Accounting concepts such as accounting for cash, accounts receivable, assets, liabilities, sales and inventories, are covered in the context of how they are applied to decision making. Decision analysis regarding corporate ownership and application of financial ratios will also be studied."
ACCT,216,Fee Calculations and Journal Entries ," This course introduces students to the fee calculations and Journal entries relating to product marketing, revenue allocation, oil Valuations and EVAP."
ACCT,225,Accounting for Managers ," Managers in all areas of business require an understanding of financial statements and how to use financial information for decision making. In this course, you will gain expertise in interpreting balance sheets, income statements and statements of cash flow. You will also learn how to use financial information for decision making. You will perform variance analysis and ratio analysis on financial statements in order to analyze them. You will gain an understanding of the importance of cash management in a business, and subsequently prepare bank reconciliations in order to reconcile cash between accounting records and bank statements. In addition, you will develop an understanding of the budgeting process, and how a budget is used in planning and control. Using the appropriate software, you will create a budget. The concept of using incremental analysis to make decisions will be introduced. Lastly, risk will be discussed for each objective of the course."
ACCT,255,Introductory Financial Accounting II ," Building on the foundation established in Introductory Financial Accounting I, this course introduces accounting issues related to partnerships and corporations. Specialized topics, including capital assets, short and long-term liabilities, share capital, dividends and stock splits are explored. Using software, you will gain practical, hands-on experience in recording accounting transactions and preparing financial statements."
ACCT,260,Financial Accounting ," This course provides a general understanding of financial principles and practices tailored for the hospitality industry. Topics include generally accepted accounting principles, the accounting cycle, payroll, inventory and financial statement preparation. Concepts will be reinforced through preparation of business transactions, receivables and payables, as well as exposure to internal control procedures that are specific to hospitality accounting."
ACCT,315,Intermediate Financial Accounting I ," In this first of two intermediate accounting courses, you will develop technical competencies as you examine the statement of comprehensive income (income statement), statement of changes in equity (statement of retained earnings), statement of financial position (balance sheet) and statement of cash flows (cash flow statement) in depth, with emphasis on the measurement, valuation and presentation of current and non-current assets."
ACCT,335,Hospitality Accounting ," The focus of this course is on using the financial statements and techniques developed for the hospitality industry to analyze business performance and aid in decision making. Budgeting, investments, calculation of break-even and contribution margins specific to the hospitality industry are presented."
ACCT,338,Introductory Management Accounting ," Introductory Management Accounting introduces you to key concepts and practices of management accounting. You will learn to process and analyze information for management control and decision analysis. Some of the topics you will study include cost accounting, cost-volume-profit analysis, budgeting, inventory costing and job costing."
ACCT,350,Intermediate Financial Accounting II ," The focus of this second intermediate financial accounting course shifts from assets to liabilities and equities. Specialized topics, including accounting for complex debt and equity instruments, leases, income taxes, pension and other post-employment benefits, and accounting changes, enable you to consolidate the knowledge and skills you developed in previous accounting courses. Your numeracy skills will develop to encompass present value calculation activities; and your qualitative and quantitative skills will be enhanced as you analyze complex financial situations and prepare more complex financial statements."
