Course Dept,Course Number,Course Name,Course Desc
Academic Writing ,201,Introduction to Academic Writing,"An introduction to academic writing and to the genres of narrative, critical, and essay writing. Emphasis on developing an effective writing process, reading critically, developing arguments, and using and citing sources. Some emphasis on oral presentations may be included. "
Academic Writing ,203,Introduction to Research Writing,"An introduction to inquiry-based research writing, from formulating good research questions to conducting an information search, developing an argument, using sources effectively, and revising and editing. A focus on oral presentations may also be included."
Academic Writing,303,Discipline-based Academic Writing,"An intermediate level course in the writing styles, genres and modes of evidence and reasoning appropriate to academic writing in a specific discipline or disciplines. Emphasis on connections between reading, writing, critical reasoning and, where appropriate, other discourse forms such as oral and electronic presentation."
Accounting ,217,Introductory Financial Accounting,"Introduction to accounting for business organizations. Reporting of financial results of operations and financial position to investors, managers, and others. Emphasis on the use of accounting information for decision making."
Accounting ,301,Accounting Principles,Introduction to basic accounting principles and practices. Emphasis is placed on the accounting cycle and the key financial statements necessary for business decisions. Introduces basic financial and managerial accounting concepts.
Accounting ,323,Introductory Managerial Accounting,"An introduction to the use of accounting within an organizational context. Emphasis is placed on the development and dissemination of accounting information necessary for effective management including: planning, directing, motivating, and controlling activities and behaviours."
Accounting ,341,Intermediate Financial Accounting I,"Financial accounting from a producer point of view. Topics include cash, receivables, inventories, short and long-term investments, intangible assets and capital assets including the appropriate financial statement considerations."
Accounting ,343,Intermediate Financial Accounting II,"Financial accounting from a producer point of view. Topics include accounting for liabilities, shareholders equity, leases, future income taxes, pensions, accounting changes and earnings per share including the relevant financial statement considerations."
Accounting ,361,Cost Accounting,"The production of accounting data for the purpose of decision-making, control and evaluation. Topics covered are in the cost classifications and methods of cost establishment, cost data appropriate for decision models, standards and controls."
Accounting ,421,Taxation,"Taxation levied on profits, sales, property and estates and its impact upon management decisions. Consideration will be given to the biases and shifts implicit in any system of taxation."
Accounting ,423,Advanced Taxation,"Focuses on tax planning. Extends the material covered in the introductory tax course with an examination of specialized topics in personal and corporate income tax. Topics include detailed review of taxation of corporations, income trusts, partnerships, business reorganization, amalgamations, winding-up of businesses, sale of an incorporated business, tax consequences of leaving Canada and death of a taxpayer."
Accounting ,425,Auditing,"A conceptual study of audit evidence, basic audit techniques, professional ethics, audit reports."
Accounting ,443,Advanced Financial Accounting,"Topics include accounting for business combinations and intercorporate investments, foreign currency transactions and translation, bankruptcy, partnerships, and not-for-profit organizations."
